id	level	初级巽风灵符	提高韧性1%	class	resist_type	duration	effect_interval	addition_threat	effectlist	effect_argument	deadcancel	can_active_cancel

100000000	1	打坐buff	修灵状态下每10秒可获得少量的经验和灵力	5	6	-1	10000	0	[sitdown_effect]	[0]	[1]	0
100000011	1	体验VIP	VIP体验：1.免费小飞鞋40次。2.开放随身仓库，可随时存取物品。3.开放随身商店，可随时买卖和修理。4.挂机中可自动修理装备。	0	6	3600000	0	0	[]	[]	[]	0
100000019	8	坐骑加速	骑乘状态下移动速度+15%	1	6	-1	0	0	[movespeed]	[80]	[]	0
100000019	7	坐骑加速	骑乘状态下移动速度+30%	1	6	-1	0	0	[movespeed]	[70]	[]	0
100000019	6	坐骑加速	骑乘状态下移动速度+40%	1	6	-1	0	0	[movespeed]	[65]	[]	0
100000019	5	坐骑加速	骑乘状态下移动速度+50%	1	6	-1	0	0	[movespeed]	[60]	[]	0
100000019	4	坐骑加速	骑乘状态下移动速度+60%	1	6	-1	0	0	[movespeed]	[50]	[]	0
100000019	3	坐骑加速	骑乘状态下移动速度+65%	1	6	-1	0	0	[movespeed]	[40]	[]	0
100000019	2	坐骑加速	骑乘状态下移动速度+70%	1	6	-1	0	0	[movespeed]	[30]	[]	0
100000019	1	坐骑加速	骑乘状态下移动速度+80%	1	6	-1	0	0	[movespeed]	[15]	[]	0
200000000	1	打坐buff	修灵状态下每10秒可获得1.5倍的经验和灵力	5	6	-1	10000	0	[sitdown_effect]	[0]	[1]	0
200000100	1	近防丹	近防+2%，持续30分钟	0	6	1800000	0	0	[meleedefense_percent]	[2]	[]	1
200000200	1	远防丹	远防+2%，持续30分钟	0	6	1800000	0	0	[rangedefense_percent]	[2]	[]	1
200000300	1	魔防丹	魔防+2%，持续30分钟	0	6	1800000	0	0	[magicdefense_percent]	[2]	[]	1
200000400	3	初级攻击丹	攻击+3%，持续30分钟	0	6	1800000	0	0	[rangepower_percent,magicpower_percent,meleepower_percent]	[7,7,7]	[]	1
200000400	2	中级攻击丹	攻击+5%，持续30分钟	0	6	1800000	0	0	[rangepower_percent,magicpower_percent,meleepower_percent]	[5,5,5]	[]	1
200000400	1	高级攻击丹	攻击+7%，持续30分钟	0	6	1800000	0	0	[rangepower_percent,magicpower_percent,meleepower_percent]	[3,3,3]	[]	1
200000500	3	初级防御丹	防御+3%，持续30分钟	0	6	1800000	0	0	[magicdefense_percent,rangedefense_percent,meleedefense_percent]	[7,7,7]	[]	1
200000500	2	中级防御丹	防御+5%，持续30分钟	0	6	1800000	0	0	[magicdefense_percent,rangedefense_percent,meleedefense_percent]	[5,5,5]	[]	1
200000500	1	高级防御丹	防御+7%，持续30分钟	0	6	1800000	0	0	[magicdefense_percent,rangedefense_percent,meleedefense_percent]	[3,3,3]	[]	1
200000600	3	初级生命丹	生命+3%，持续30分钟	0	6	1800000	0	0	[hpmax_percent]	[7,7,7]	[]	1
200000600	2	中级生命丹	生命+5%，持续30分钟	0	6	1800000	0	0	[hpmax_percent]	[5,5,5]	[]	1
200000600	1	高级生命丹	生命+7%，持续30分钟	0	6	1800000	0	0	[hpmax_percent]	[3,3,3]	[]	1
300000000	1	打坐buff	修灵状态下每10秒可获得2倍的经验和灵力	5	6	-1	10000	0	[sitdown_effect]	[0]	[1]	0
500000001	1	红色麒麟	加入了红色麒麟阵营(变身状态无法使用技能和坐骑）	0	2	300000	0	0	[displayid]	[410000301]	[]	0
500000002	1	紫色麒麟	加入了紫色麒麟阵营(变身状态无法使用技能和坐骑）	0	2	300000	0	0	[displayid]	[410000302]	[]	0
500000003	1	温泉男	温泉泡澡状态下可以获得经验及灵力。当前状态无法召唤坐骑。	0	6	-1	5000	0	[spa_effect,displayid]	[0,410000303]	[]	0
500000004	1	温泉女	温泉泡澡状态下可以获得经验及灵力。当前状态无法召唤坐骑。	0	6	-1	5000	0	[spa_effect,displayid]	[0,410000304]	[]	0
500000005	1	帮会聚灵buff	吸收帮会驻地灵气，持续获得大量经验和灵力。	0	6	-1	10000	0	[bonfire_effect]	[0]	[]	0
510000003	10	腐蚀术	每秒减少20点生命	0	4	6000	1000	0	[hpeffect]	[-200]	[1]	0
510000003	9	腐蚀术	每秒减少40点生命	0	4	6000	1000	0	[hpeffect]	[-180]	[1]	0
