id	ntype	special_type	ishot	name	sort	price	discount	tips	displayid	restrict	bodcast

10057091	0	0	0	宠物大礼包	698	[{2,888}]	[{1,666}]	这里填入信息	1400024	[]	0
10057100	0	0	0	天珠折扣礼包	100	[{2,500}]	[{1,480}]	这里填入信息	2400037	[]	0
10057110	0	0	0	宠物折扣礼包	698	[{2,1288}]	[{1,1110}]	这里填入信息	2400037	[]	0
10057120	0	0	0	升星折扣礼包	300	[{2,3288}]	[{1,2874}]	这里填入信息	2400037	[]	0
10057130	0	0	0	药品折扣礼包	400	[{2,1188}]	[{1,874}]	这里填入信息	2400037	[]	0
10057140	0	0	0	宝石折扣礼包	299	[{2,2699}]	[{1,2124}]	这里填入信息	2400037	[]	0
11020200	2	0	0	初级血参	401	[{2,30}]	[{1,18}]	这里填入信息	1410025	[]	0
11020201	100	0	0	初级血参	502	[{3,25}]	[]	这里填入信息	1410025	[]	0
11020300	2	0	0	中级血参	402	[{2,50}]	[{1,38}]	这里填入信息	1420025	[]	0
11020400	2	0	0	高级血参	403	[{2,80}]	[{1,58}]	这里填入信息	1430025	[]	0
11020500	2	0	0	特级血参	404	[{2,100}]	[{1,88}]	这里填入信息	1440025	[]	0
11040600	2	0	0	初级麝香	405	[{2,30}]	[{1,18}]	这里填入信息	1104060	[]	0
11040601	100	0	0	初级麝香	503	[{3,25}]	[]	这里填入信息	1104060	[]	0
11040700	2	0	0	中级麝香	406	[{2,50}]	[{1,38}]	这里填入信息	1104060	[]	0
11040800	2	0	0	高级麝香	407	[{2,80}]	[{1,58}]	这里填入信息	1104060	[]	0
11040900	2	0	0	特级麝香	408	[{2,100}]	[{1,88}]	这里填入信息	1104060	[]	0
13010010	1	0	1	初级升星石	301	[{2,30}]	[{1,18}]	这里填入信息	1400001	[]	0
13010011	100	0	0	初级升星石	511	[{3,30}]	[]	这里填入信息	1400001	[]	0
13010020	1	0	1	中级升星石	302	[{2,100}]	[{1,68}]	这里填入信息	1400002	[]	0
13010021	0	0	0	中级升星石	801	[]	[]	这里填入信息	1400002	[]	0
13010030	1	0	0	高级升星石	303	[{2,200}]	[{1,148}]	这里填入信息	1400003	[]	0
13020030	1	0	1	3星保护石	304	[{2,30}]	[{1,10}]	这里填入信息	1400004	[]	0
13020031	100	0	0	3星升星保护石	512	[{3,30}]	[]	这里填入信息	1400004	[]	0
13020040	1	0	0	4星保护石	305	[{2,90}]	[{1,30}]	这里填入信息	1400005	[]	0
13020050	1	0	0	5星保护石	306	[{2,270}]	[{1,90}]	这里填入信息	1400005	[]	0
13020060	1	0	0	6星保护石	307	[{2,810}]	[{1,270}]	这里填入信息	1400005	[]	0
13050010	1	0	0	初级打孔石	308	[{2,30}]	[{1,18}]	这里填入信息	1400007	[]	0
13050011	100	0	0	打孔石	505	[{3,30}]	[]	这里填入信息	1400007	[]	0
13050020	1	0	1	中级打孔石	309	[{2,200}]	[{1,98}]	这里填入信息	1400008	[]	0
13050030	1	0	0	高级打孔石	310	[{2,500}]	[{1,348}]	这里填入信息	1400009	[]	0
13060010	1	0	0	宝石拆卸符	311	[{2,80}]	[{1,48}]	这里填入信息	1400016	[]	0
13060011	100	0	0	拆解凿	506	[{3,50}]	[]	这里填入信息	1400016	[]	0
13120010	6	0	1	宠物资质提升符	701	[{2,19}]	[]	这里填入信息	1400110	[]	0
13130010	6	0	0	宠物资质保护符	702	[{2,155}]	[]	这里填入信息	1400111	[]	0
13140010	6	0	0	宠物资质幸运符	703	[{2,55}]	[]	这里填入信息	1400112	[]	0
13160010	6	0	1	初级兽灵丹	704	[{2,10}]	[]	这里填入信息	2440057	[]	0
13160020	6	0	0	中级兽灵丹	705	[{2,49}]	[]	这里填入信息	2420057	[]	0
13160030	6	0	0	高级兽灵丹	706	[{2,109}]	[]	这里填入信息	2430057	[]	0
13170010	6	0	0	绿色宠物洗髓丹	707	[{2,5}]	[]	这里填入信息	1317001	[]	0
13170020	6	0	0	蓝色宠物洗髓丹	708	[{2,28}]	[]	这里填入信息	1317002	[]	0
13170030	6	0	0	紫色宠物洗髓丹	709	[{2,48}]	[]	这里填入信息	1317003	[]	0
13180040	6	0	0	忘情水	710	[{2,148}]	[]	这里填入信息	1400107	[]	0
13190010	6	0	1	宠物进阶丹	711	[{2,35}]	[]	这里填入信息	1400225	[]	0
14000130	1	0	0	三级力量宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200010	[]	0
14000230	1	0	0	三级敏捷宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200020	[]	0
14000330	1	0	0	三级智力宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200030	[]	0
14000430	1	0	0	三级体质宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200100	[]	0
14000530	1	0	0	三级魔防宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200130	[]	0
14000630	1	0	0	三级远防宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200120	[]	0
14000730	1	0	0	三级近防宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200110	[]	0
14000830	1	0	0	三级攻击宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200040	[]	0
14000930	1	0	0	三级命中宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200070	[]	0
14001030	1	0	0	三级闪避宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200170	[]	0
14001130	1	0	0	三级韧性宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200180	[]	0
14001230	1	0	0	三级暴击宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1200080	[]	0
14001330	1	0	0	三级暴伤宝石	601	[{2,200}]	[{1,88}]	这里填入信息	1205201	[]	0
15000010	4	0	0	悬赏令	120	[{2,30}]	[{1,8}]	这里填入信息	1800002	[]	0
15000011	0	0	0	悬赏令	804	[]	[]	这里填入信息	1800002	[]	0
16000130	3	0	0	春暖花开装	203	[{2,3000}]	[{1,999}]	这里填入信息	1700050	[]	0
16000230	3	0	0	黄金羽衣	204	[{2,3000}]	[{1,999}]	这里填入信息	1700052	[]	0
16000330	3	0	1	太乙龙纹装	205	[{2,6000}]	[{1,1888}]	这里填入信息	1700053	[]	0
17000070	3	0	1	赤眉吊睛虎	201	[{2,2000}]	[{1,1288}]	这里填入信息	3110114	[]	0
17000080	3	0	0	幽灵狼	202	[{2,6000}]	[{1,2888}]	这里填入信息	3110106	[]	1011
19000271	100	0	0	复活令牌	504	[{3,25}]	[]	这里填入信息	1400020	[]	0
19000300	4	0	0	小飞鞋	114	[{2,20}]	[{1,8}]	这里填入信息	1400017	[]	0
19000301	100	0	0	小飞鞋	507	[{3,10}]	[]	这里填入信息	1400017	[]	0
19000490	4	0	0	小喇叭	115	[{2,30}]	[{1,10}]	这里填入信息	1400077	[]	0
19000520	4	0	0	止时符	119	[{2,200}]	[{1,68}]	这里填入信息	1600001	[]	0
19000521	100	0	0	止时符	513	[{3,70}]	[]	这里填入信息	1600001	[]	0
19000570	4	0	0	绸缎	112	[{2,1000}]	[{1,188}]	这里填入信息	1400048	[]	0
19000620	4	204	0	灵符精元	109	[{2,300}]	[{1,98}]	这里填入信息	1400079	[]	0
19000621	0	0	0	灵符精元	805	[]	[]	这里填入信息	1400079	[]	0
19000690	4	0	0	免罪令	116	[{2,28}]	[{1,18}]	这里填入信息	1400141	[]	0
19010080	4	0	0	初级铜钱符	105	[{2,10}]	[]	这里填入信息	2410024	[]	0
19010081	0	0	0	初级铜钱符	802	[]	[]	这里填入信息	2410024	[]	0
19010090	4	0	0	中级铜钱符	106	[{2,100}]	[]	这里填入信息	2420024	[]	0
19010091	0	0	0	中级铜钱符	509	[]	[]	这里填入信息	2420024	[]	0
