id	level	name	type	rate	target_type	max_distance	isaoe	aoeradius	interrupt	aoe_max_target	target_destroy	aoe_target_destroy	self_destroy	cooldown	cast_type	cast_time	addtion_threat	target_buff	caster_buff	remove_buff	cost	flyspeed	learn_level	class	script	money	required_skills	hit_addition	soulpower	creature	items	addtion_power

100000010	1	vip体验	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	0	1	0	0	[]	[{{100000011,1},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[]	[]	0
100000011	1	vip体验	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	0	1	0	0	[]	[{{100000011,2},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[]	[]	0
200000100	1	近防丹	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	2000	1	0	0	[{{200000100,1},1000}]	[{{200000100,1},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[0]	[]	0
200000200	1	远防丹	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	2000	1	0	0	[{{200000200,1},1000}]	[{{200000200,1},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[0]	[]	0
200000300	1	魔防丹	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	2000	1	0	0	[{{200000300,1},1000}]	[{{200000300,1},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[0]	[]	0
200000401	1	初级攻击丹	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	2000	1	0	0	[{{200000400,1},1000}]	[{{200000400,1},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[0]	[]	0
200000402	1	中级攻击丹	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	2000	1	0	0	[{{200000400,2},1000}]	[{{200000400,2},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[0]	[]	0
200000403	1	高级攻击丹	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	2000	1	0	0	[{{200000400,3},1000}]	[{{200000400,3},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[0]	[]	0
200000501	1	初级防御丹	1	0	3	0	0	0	0	0	{0,0}	{0,0}	{0,0}	2000	1	0	0	[{{200000500,1},1000}]	[{{200000500,1},1000}]	0	0	0	0	0	[]	0	[]	{0,0}	0	[0]	[]	0
