proto_count	rate_base

{21000631,1}	8
{13150011,1}	8
{13140011,1}	8
{13170031,1}	8
{19010661,1}	8
{21000630,1}	8
{13150010,1}	8
{13140010,1}	8
{13170030,1}	8
{19010660,1}	8
{19010391,1}	8
{19010381,1}	8
{19010121,1}	8
{19010091,1}	8
{19010081,1}	8
{19000601,1}	8
{19000581,1}	8
{19000271,1}	8
{14001331,1}	8
{14001321,1}	8
{14001311,1}	8
{14001231,1}	8
{14001221,1}	8
{14001211,1}	8
{14001131,1}	8
{14001121,1}	8
{14001111,1}	8
{14001031,1}	8
{14001021,1}	8
{14001011,1}	8
{14000931,1}	8
{14000921,1}	8
{14000911,1}	8
{14000831,1}	8
{14000821,1}	8
{14000811,1}	8
{14000731,1}	8
{14000721,1}	8
{14000711,1}	8
{14000631,1}	8
{14000621,1}	8
{14000611,1}	8
{14000531,1}	8
{14000521,1}	8
{14000511,1}	8
{14000431,1}	8
{14000421,1}	8
{14000411,1}	8
{14000331,1}	8
{14000321,1}	8
{14000311,1}	8
{14000231,1}	8
{14000221,1}	8
{14000211,1}	8
{14000131,1}	8
{14000121,1}	8
{14000111,1}	8
{13080021,1}	8
{13080011,1}	8
{13060011,1}	8
{13050021,1}	8
{13050011,1}	8
{13040011,1}	8
{13030031,1}	8
{13030021,1}	8
{13020041,1}	8
{13020031,1}	8
{13010031,1}	8
{13010021,1}	8
{13010011,1}	8
{12601741,1}	5
{12601641,1}	5
{12601541,1}	5
{12601441,1}	5
{12601341,1}	5
{12601241,1}	5
{12601141,1}	5
{12601041,1}	5
{12351741,1}	5
{12351641,1}	5
{12351541,1}	5
{12351441,1}	5
{12351341,1}	5
{12351241,1}	5
{12351141,1}	5
{12351041,1}	5
{11051211,1}	8
{11051111,1}	8
{11051011,1}	8
{11050911,1}	8
{11050811,1}	8
{11050711,1}	8
{11050611,1}	8
{11050511,1}	8
{11050411,1}	8
{19010390,1}	8
{19010380,1}	8
{19010120,1}	8
{19010090,1}	8
{19010080,1}	8
{19000600,1}	8
{19000580,1}	8
{19000270,1}	8
{14001330,1}	8
{14001320,1}	8
{14001310,1}	8
{14001230,1}	8
{14001220,1}	8
{14001210,1}	8
{14001130,1}	8
{14001120,1}	8
{14001110,1}	8
{14001030,1}	8
{14001020,1}	8
{14001010,1}	8
{14000930,1}	8
{14000920,1}	8
{14000910,1}	8
{14000830,1}	8
{14000820,1}	8
{14000810,1}	8
{14000730,1}	8
{14000720,1}	8
{14000710,1}	8
{14000630,1}	8
{14000620,1}	8
{14000610,1}	8
{14000530,1}	8
{14000520,1}	8
{14000510,1}	8
{14000430,1}	8
{14000420,1}	8
{14000410,1}	8
{14000330,1}	8
{14000320,1}	8
{14000310,1}	8
{14000230,1}	8
{14000220,1}	8
{14000210,1}	8
{14000130,1}	8
{14000120,1}	8
{14000110,1}	8
{13080020,1}	8
{13080010,1}	8
{13060010,1}	8
{13050020,1}	8
{13050010,1}	8
{13040010,1}	8
{13030030,1}	8
{13030020,1}	8
{13020040,1}	8
{13020030,1}	8
{13010030,1}	8
{13010020,1}	8
{13010010,1}	8
{12601740,1}	8
{12601640,1}	8
{12601540,1}	8
{12601440,1}	8
{12601340,1}	8
{12601240,1}	8
{12601140,1}	8
{12601040,1}	8
{12351740,1}	8
{12351640,1}	8
{12351540,1}	8
{12351440,1}	8
{12351340,1}	8
{12351240,1}	8
{12351140,1}	8
{12351040,1}	8
{11051210,1}	8
{11051110,1}	8
{11051010,1}	8
{11050910,1}	8
{11050810,1}	8
{11050710,1}	8
{11050610,1}	8
{11050510,1}	8
{11050410,1}	8
